major_category,minor_category,Occupational Category,total_salary,total_mens_salary,total_womens_salary,total_less_bachelors,mens_less_bachelors,womens_less_bachelors,total_with_bachelors,men_with_bachelors,women_with_bachelors,
total,Total,Total," 47,986 "," 52,031 "," 41,772 "," 38,815 "," 42,298 "," 32,825 "," 70,110 "," 81,354 "," 60,069 ",
"Management, Business, and Financial Occupations",,"Management, Business, Science, and Arts Occupations"," 66,294 "," 78,670 "," 56,678 "," 51,301 "," 60,523 "," 45,144 "," 75,764 "," 90,567 "," 64,134 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations","Management, Business, and Financial Occupations"," 71,632 "," 81,374 "," 61,593 "," 53,704 "," 61,234 "," 48,153 "," 85,833 "," 100,224 "," 72,742 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Management Occupations," 75,591 "," 83,015 "," 64,345 "," 56,037 "," 61,864 "," 48,880 "," 92,970 "," 102,332 "," 79,091 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Chief executives," 130,426 "," 141,345 "," 103,752 "," 91,627 "," 100,411 "," 76,358 "," 150,885 "," 159,401 "," 121,373 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",General and operations managers," 71,452 "," 76,864 "," 58,610 "," 61,606 "," 67,165 "," 50,754 "," 86,685 "," 94,097 "," 71,878 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Legislators," 67,191 "," 70,140 "," 66,650 "," 54,953 "," 54,438 "," 55,711 "," 70,372 "," 75,878 "," 67,154 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Advertising and promotions managers," 71,245 "," 81,039 "," 65,768 "," 56,751 "," 63,979 "," 52,481 "," 75,562 "," 86,892 "," 67,331 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Marketing and sales managers," 85,620 "," 100,578 "," 71,425 "," 66,704 "," 76,609 "," 56,496 "," 97,039 "," 111,206 "," 79,970 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Public relations and fundraising managers," 80,280 "," 84,651 "," 76,799 "," 69,496 "," 81,090 "," 61,431 "," 81,207 "," 85,688 "," 80,111 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Administrative services managers," 64,720 "," 70,297 "," 60,390 "," 60,028 "," 62,411 "," 55,096 "," 75,508 "," 85,044 "," 66,846 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Computer and information systems managers," 104,748 "," 108,357 "," 96,682 "," 87,332 "," 91,025 "," 78,374 "," 111,653 "," 116,695 "," 102,126 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Financial managers," 77,413 "," 101,042 "," 63,328 "," 54,432 "," 65,273 "," 51,892 "," 99,357 "," 110,471 "," 82,084 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Compensation and benefits managers," 71,605 "," 93,895 "," 70,251 "," 68,265 "," 140,285 "," 66,128 "," 76,438 "," 91,419 "," 73,459 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Human resources managers," 72,939 "," 80,258 "," 70,944 "," 56,783 "," 61,388 "," 54,041 "," 86,348 "," 100,579 "," 80,883 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Training and development managers," 75,570 "," 85,813 "," 66,964 "," 61,704 "," 67,401 "," 54,976 "," 82,159 "," 98,892 "," 75,241 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Industrial production managers," 76,523 "," 77,995 "," 70,409 "," 66,371 "," 68,140 "," 53,278 "," 97,160 "," 101,009 "," 84,978 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Purchasing managers," 76,944 "," 82,684 "," 70,517 "," 61,013 "," 66,532 "," 55,802 "," 87,040 "," 96,699 "," 81,349 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations","Transportation, storage, and distribution managers"," 54,200 "," 53,735 "," 55,772 "," 50,071 "," 50,086 "," 49,938 "," 75,723 "," 76,320 "," 71,397 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations","Farmers, ranchers, and other agricultural managers"," 41,997 "," 43,920 "," 30,949 "," 40,938 "," 41,741 "," 28,335 "," 50,768 "," 51,394 "," 38,844 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Construction managers," 71,929 "," 72,485 "," 63,653 "," 65,604 "," 66,249 "," 55,610 "," 86,671 "," 89,178 "," 72,137 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Education administrators," 71,111 "," 80,726 "," 65,266 "," 41,721 "," 52,185 "," 39,298 "," 76,510 "," 83,703 "," 71,524 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Architectural and engineering managers," 130,423 "," 130,419 "," 130,448 "," 97,091 "," 98,510 "," 74,521 "," 136,061 "," 136,648 "," 132,401 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Food service managers," 41,199 "," 46,607 "," 35,195 "," 37,473 "," 42,227 "," 31,795 "," 51,607 "," 55,235 "," 47,246 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Funeral service managers," 60,848 "," 60,487 "," 61,597 "," 52,438 "," 52,496 "," 48,333 "," 71,131 "," 71,149 "," 71,031 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Gaming managers," 56,257 "," 60,081 "," 52,872 "," 53,588 "," 55,422 "," 52,013 "," 62,150 "," 65,820 "," 56,158 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Lodging managers," 46,700 "," 52,196 "," 41,588 "," 42,031 "," 50,552 "," 36,859 "," 51,926 "," 60,514 "," 47,396 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Medical and health services managers," 72,152 "," 88,029 "," 67,294 "," 52,030 "," 59,578 "," 51,009 "," 86,792 "," 101,499 "," 81,258 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Natural sciences managers," 92,311 "," 111,817 "," 77,020 "," 52,062 "," 51,983 "," 52,111 "," 96,961 "," 115,534 "," 81,216 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Postmasters and mail superintendents," 71,429 "," 72,401 "," 67,745 "," 69,364 "," 71,242 "," 64,112 "," 79,127 "," 78,121 "," 81,207 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations","Property, real estate, and community association managers"," 52,297 "," 62,124 "," 46,738 "," 45,552 "," 50,810 "," 41,373 "," 70,866 "," 82,875 "," 60,450 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Social and community service managers," 57,284 "," 70,032 "," 53,316 "," 45,966 "," 51,658 "," 43,753 "," 63,676 "," 75,930 "," 60,018 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",Emergency management directors," 68,894 "," 68,407 "," 70,385 "," 62,647 "," 61,352 "," 71,240 "," 71,389 "," 72,350 "," 51,304 ",
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations","Managers, all other"," 80,374 "," 85,877 "," 70,065 "," 60,607 "," 64,658 "," 51,356 "," 98,509 "," 103,990 "," 82,175 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Business and Financial Operations Occupations," 65,473 "," 75,918 "," 58,228 "," 50,526 "," 56,386 "," 47,315 "," 74,556 "," 84,067 "," 66,553 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Agents and business managers of artists, performers, and athletes"," 52,698 "," 56,380 "," 51,791 "," 43,187 "," 42,404 "," 44,112 "," 66,542 "," 71,459 "," 60,386 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Buyers and purchasing agents, farm products"," 66,643 "," 70,549 "," 57,352 "," 52,495 "," 51,955 "," 55,550 "," 80,665 "," 81,633 "," 76,283 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Wholesale and retail buyers, except farm products"," 43,186 "," 44,504 "," 42,345 "," 37,168 "," 40,281 "," 35,059 "," 52,404 "," 51,582 "," 55,132 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Purchasing agents, except wholesale, retail, and farm products"," 55,524 "," 60,835 "," 51,359 "," 49,882 "," 52,177 "," 46,359 "," 65,247 "," 70,085 "," 60,773 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,"Claims adjusters, appraisers, examiners, and investigators"," 53,469 "," 61,361 "," 50,228 "," 48,546 "," 53,588 "," 46,664 "," 60,850 "," 64,785 "," 56,017 ",
"Management, Business, and Financial Occupations",Business and Financial Operations Occupations,Compliance officers," 70,186 "," 74,443 "," 65,328 "," 56,982 "," 61,853 "," 52,165 "," 76,162 "," 81,223 "," 71,580 ",
