"Table 2.  Detailed Occupation1 by Median Earnings in the Past 12 Months, Sex and Education for Full-Time, Year-Round Workers: ACS 2016",,,,,,,,,,,,,,,,,,,
"Universe: Full-time, year-round, civilian employed population 25 years and over with earnings ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Less than Bachelor's degree,,,,,,Bachelor's degree or higher,,,,,,
Occupational Category,Total,,Men ,,Women,,Total,,Men,,Women,,Total,,Men,,Women,,
,Estimate,MOE2,Estimate,MOE2,Estimate,MOE2,Estimate,MOE2,Estimate,MOE2,Estimate,MOE2,Estimate,MOE2,Estimate,MOE2,Estimate,MOE2,
Total," 47,986 ", 123 ," 52,031 ", 52 ," 41,772 ", 54 ," 38,815 ", 115 ," 42,298 ", 62 ," 32,825 ", 134 ," 70,110 ", 106 ," 81,354 ", 135 ," 60,069 ", 114 ,
"Management, Business, Science, and Arts Occupations"," 66,294 ", 99 ," 78,670 ", 432 ," 56,678 ", 142 ," 51,301 ", 86 ," 60,523 ", 165 ," 45,144 ", 182 ," 75,764 ", 137 ," 90,567 ", 180 ," 64,134 ", 322 ,
"Management, Business, and Financial Occupations"," 71,632 ", 133 ," 81,374 ", 194 ," 61,593 ", 128 ," 53,704 ", 415 ," 61,234 ", 214 ," 48,153 ", 395 ," 85,833 ", 246 ," 100,224 ", 132 ," 72,742 ", 493 ,
Management Occupations," 75,591 ", 216 ," 83,015 ", 834 ," 64,345 ", 519 ," 56,037 ", 320 ," 61,864 ", 233 ," 48,880 ", 613 ," 92,970 ", 750 ," 102,332 ", 177 ," 79,091 ", 880 ,
Chief executives," 130,426 "," 1,254 "," 141,345 "," 1,374 "," 103,752 "," 4,272 "," 91,627 "," 1,675 "," 100,411 "," 1,817 "," 76,358 "," 3,191 "," 150,885 ", 510 ," 159,401 "," 5,627 "," 121,373 "," 1,636 ",
General and operations managers," 71,452 ", 634 ," 76,864 ", 772 ," 58,610 "," 2,611 "," 61,606 ", 502 ," 67,165 "," 1,175 "," 50,754 ", 647 ," 86,685 "," 1,295 "," 94,097 "," 3,091 "," 71,878 "," 2,187 ",
Legislators," 67,191 "," 4,470 "," 70,140 "," 12,688 "," 66,650 "," 6,664 "," 54,953 "," 9,717 "," 54,438 "," 15,390 "," 55,711 "," 34,509 "," 70,372 "," 5,899 "," 75,878 "," 13,459 "," 67,154 "," 6,084 ",
Advertising and promotions managers," 71,245 "," 2,190 "," 81,039 "," 4,454 "," 65,768 "," 4,852 "," 56,751 "," 7,784 "," 63,979 "," 13,779 "," 52,481 "," 9,890 "," 75,562 "," 5,164 "," 86,892 "," 5,709 "," 67,331 "," 5,098 ",
Marketing and sales managers," 85,620 "," 1,100 "," 100,578 ", 573 ," 71,425 ", 792 ," 66,704 "," 1,085 "," 76,609 "," 1,805 "," 56,496 "," 1,430 "," 97,039 "," 1,875 "," 111,206 "," 1,748 "," 79,970 "," 3,122 ",
Public relations and fundraising managers," 80,280 "," 3,584 "," 84,651 "," 7,701 "," 76,799 "," 4,611 "," 69,496 "," 8,115 "," 81,090 "," 14,351 "," 61,431 "," 5,250 "," 81,207 "," 2,644 "," 85,688 "," 9,402 "," 80,111 "," 5,255 ",
Administrative services managers," 64,720 "," 1,903 "," 70,297 "," 2,434 "," 60,390 "," 1,388 "," 60,028 "," 2,929 "," 62,411 "," 2,371 "," 55,096 "," 2,259 "," 75,508 "," 3,192 "," 85,044 "," 4,783 "," 66,846 "," 5,615 ",
Computer and information systems managers," 104,748 "," 1,698 "," 108,357 "," 2,485 "," 96,682 "," 2,722 "," 87,332 "," 2,073 "," 91,025 "," 2,074 "," 78,374 "," 5,726 "," 111,653 ", 874 ," 116,695 "," 2,189 "," 102,126 "," 1,311 ",
Financial managers," 77,413 "," 1,278 "," 101,042 ", 671 ," 63,328 "," 1,637 "," 54,432 "," 1,216 "," 65,273 "," 4,815 "," 51,892 ", 546 ," 99,357 "," 2,547 "," 110,471 "," 2,124 "," 82,084 "," 1,340 ",
Compensation and benefits managers," 71,605 "," 4,679 "," 93,895 "," 15,620 "," 70,251 "," 5,257 "," 68,265 "," 6,788 "," 140,285 "," 45,911 "," 66,128 "," 6,709 "," 76,438 "," 13,337 "," 91,419 "," 24,413 "," 73,459 "," 10,546 ",
Human resources managers," 72,939 "," 1,615 "," 80,258 "," 3,865 "," 70,944 "," 1,170 "," 56,783 "," 1,828 "," 61,388 "," 1,702 "," 54,041 "," 1,857 "," 86,348 "," 1,159 "," 100,579 "," 1,089 "," 80,883 "," 1,047 ",
Training and development managers," 75,570 "," 5,161 "," 85,813 "," 8,393 "," 66,964 "," 4,240 "," 61,704 "," 2,478 "," 67,401 "," 6,884 "," 54,976 "," 4,423 "," 82,159 "," 2,887 "," 98,892 "," 11,633 "," 75,241 "," 5,681 ",
Industrial production managers," 76,523 "," 1,094 "," 77,995 "," 2,446 "," 70,409 "," 3,328 "," 66,371 ", 936 ," 68,140 "," 2,142 "," 53,278 "," 4,240 "," 97,160 "," 3,583 "," 101,009 "," 1,778 "," 84,978 "," 3,758 ",
Purchasing managers," 76,944 "," 1,868 "," 82,684 "," 2,951 "," 70,517 "," 2,306 "," 61,013 "," 1,995 "," 66,532 "," 2,248 "," 55,802 "," 2,166 "," 87,040 "," 2,158 "," 96,699 "," 6,475 "," 81,349 "," 1,880 ",
"Transportation, storage, and distribution managers"," 54,200 "," 2,195 "," 53,735 "," 2,420 "," 55,772 "," 3,153 "," 50,071 "," 1,298 "," 50,086 "," 1,374 "," 49,938 "," 4,694 "," 75,723 "," 2,619 "," 76,320 "," 2,234 "," 71,397 "," 6,728 ",
"Farmers, ranchers, and other agricultural managers"," 41,997 ", 534 ," 43,920 "," 2,691 "," 30,949 ", 930 ," 40,938 ", 589 ," 41,741 ", 603 ," 28,335 "," 2,327 "," 50,768 ", 877 ," 51,394 ", 814 ," 38,844 "," 6,554 ",
Construction managers," 71,929 ", 738 ," 72,485 "," 1,767 "," 63,653 "," 4,163 "," 65,604 "," 1,041 "," 66,249 "," 1,049 "," 55,610 "," 5,254 "," 86,671 "," 2,306 "," 89,178 "," 4,026 "," 72,137 "," 5,758 ",
Education administrators," 71,111 ", 477 ," 80,726 ", 758 ," 65,266 "," 1,025 "," 41,721 ", 841 ," 52,185 "," 1,891 "," 39,298 "," 1,538 "," 76,510 ", 693 ," 83,703 "," 2,078 "," 71,524 ", 577 ,
Architectural and engineering managers," 130,423 "," 2,006 "," 130,419 "," 2,302 "," 130,448 "," 5,877 "," 97,091 "," 6,576 "," 98,510 "," 4,637 "," 74,521 "," 30,551 "," 136,061 "," 2,211 "," 136,648 "," 3,238 "," 132,401 "," 4,899 ",
Food service managers," 41,199 ", 393 ," 46,607 ", 733 ," 35,195 ", 978 ," 37,473 ", 979 ," 42,227 ", 684 ," 31,795 ", 522 ," 51,607 ", 770 ," 55,235 "," 3,392 "," 47,246 "," 2,156 ",
Funeral service managers," 60,848 "," 6,111 "," 60,487 "," 8,583 "," 61,597 "," 10,890 "," 52,438 "," 13,097 "," 52,496 "," 13,007 "," 48,333 "," 33,322 "," 71,131 "," 1,106 "," 71,149 "," 1,073 "," 71,031 "," 20,022 ",
Gaming managers," 56,257 "," 5,683 "," 60,081 "," 8,967 "," 52,872 "," 6,227 "," 53,588 "," 5,797 "," 55,422 "," 7,970 "," 52,013 "," 7,022 "," 62,150 "," 8,123 "," 65,820 "," 6,157 "," 56,158 "," 7,849 ",
Lodging managers," 46,700 "," 1,726 "," 52,196 "," 4,550 "," 41,588 "," 1,206 "," 42,031 "," 2,263 "," 50,552 "," 2,233 "," 36,859 "," 3,141 "," 51,926 "," 3,909 "," 60,514 "," 3,771 "," 47,396 "," 3,951 ",
Medical and health services managers," 72,152 ", 791 ," 88,029 "," 3,279 "," 67,294 "," 1,146 "," 52,030 ", 561 ," 59,578 "," 5,051 "," 51,009 ", 618 ," 86,792 "," 1,054 "," 101,499 ", 819 ," 81,258 ", 895 ,
Natural sciences managers," 92,311 "," 11,826 "," 111,817 "," 10,375 "," 77,020 "," 9,980 "," 52,062 "," 14,069 "," 51,983 "," 90,149 "," 52,111 "," 8,866 "," 96,961 "," 10,488 "," 115,534 "," 12,300 "," 81,216 "," 10,379 ",
Postmasters and mail superintendents," 71,429 ", 948 ," 72,401 "," 3,139 "," 67,745 "," 4,019 "," 69,364 "," 2,556 "," 71,242 "," 1,356 "," 64,112 "," 3,023 "," 79,127 "," 2,697 "," 78,121 "," 5,306 "," 81,207 "," 3,846 ",
"Property, real estate, and community association managers"," 52,297 ", 839 ," 62,124 "," 1,579 "," 46,738 ", 813 ," 45,552 ", 809 ," 50,810 "," 1,275 "," 41,373 ", 666 ," 70,866 "," 2,439 "," 82,875 "," 5,251 "," 60,450 "," 1,798 ",
Social and community service managers," 57,284 "," 1,061 "," 70,032 "," 3,258 "," 53,316 "," 1,470 "," 45,966 "," 1,360 "," 51,658 "," 1,695 "," 43,753 "," 1,708 "," 63,676 "," 2,308 "," 75,930 "," 2,396 "," 60,018 "," 2,495 ",
Emergency management directors," 68,894 "," 6,085 "," 68,407 "," 7,074 "," 70,385 "," 22,692 "," 62,647 "," 10,384 "," 61,352 "," 6,376 "," 71,240 "," 1,017 "," 71,389 "," 16,464 "," 72,350 "," 19,665 "," 51,304 "," 48,133 ",
"Managers, all other"," 80,374 ", 314 ," 85,877 ", 682 ," 70,065 ", 912 ," 60,607 ", 320 ," 64,658 "," 1,613 "," 51,356 ", 551 ," 98,509 "," 1,435 "," 103,990 "," 1,708 "," 82,175 ", 595 ,
