,company_id,company_name,last_year_of_employment,location,job_type,job_level,department,job_title,equal_opportunity,leadership_female_representation,women_management_opportunities,maternity_adoptive_leave,family_growth_support,paid_time_off,flexible_work_hours,ability_to_telecommute,salary_satisfaction,sponsorship_or_mentorship_program,learning_opportunities,wellness_initiatives,employer_responsiveness,people_you_work_with,social_activities_environment,overall_satisfaction,asked_pay_raise_last_12_months,think_pt_buiz_doing_enough_to_address_gender_pay_gap,think_gov_doing_enough_to_address_gender_pay_gap,confidence_in_ability_to_negotiate_salary,sex_orientation,gender,marital_status,children,education,salary,opportunity,family,schedule_flex,enrichment,culture
0,0,SAPO,2013,Viseu,Temporary,Senior-Level,Human Resources,Supply Chain Manager,4.440640128579008,7,5,4.0,6,3.0,3.0,6,5.0,6,3.0,5.0,5,1.0,5,4.58,2,1,1,1.0,Gay/Lesbian,Female,0,1,0,5100.32,5.48,5.0,4.0,4.75,3.67
1,1,Cofina,2020,Porto,Contract,Early Career,Operations,Document Controller,4.089343588503875,5,6,3.0,7,3.0,4.0,5,1.0,6,2.0,4.0,5,3.0,8,4.52,0,1,1,1.0,Gay/Lesbian,Male,0,1,1,30276.63,5.03,5.0,4.0,3.25,5.33
2,2,Redes Energéticas Nacionais (REN),2020,Évora,Full-time,Executive,Communications,Real Estate Assistant,0.2561842532333234,8,5,2.0,3,5.0,5.0,6,2.0,8,4.0,3.0,7,3.0,7,4.43,1,0,0,1.0,Gay/Lesbian,Other,1,1,1,22504.76,4.42,2.5,5.33,4.25,5.67
3,3,Iberomoldes,2020,Guarda,Other,Early Career,Operations,Chief Of Staff,2.728153475535622,8,5,4.0,6,2.0,4.0,5,5.0,7,3.0,5.0,6,4.0,4,4.72,2,1,0,2.0,Heterosexual,Male,0,1,2,14471.32,5.24,5.0,3.67,5.0,4.67
4,4,Sonae,2016,Setúbal,Contract,Executive,Marketing,Market Manager,4.20583264848457,8,3,3.0,6,2.0,2.0,5,4.0,8,3.0,4.0,5,3.0,7,4.46,2,0,0,4.0,Heterosexual,Male,1,1,2,8901.87,5.07,4.5,3.0,4.75,5.0
5,5,Soares da Costa,2020,Aveiro,Other,Early Career,Management,Store Manager,1.2546925536644764,6,5,3.0,6,3.0,1.0,8,4.0,8,4.0,4.0,6,3.0,9,4.72,1,0,0,3.0,Gay/Lesbian,Male,0,1,1,16489.76,4.08,4.5,4.0,5.0,6.0
6,6,Simoldes,2020,Coimbra,Other,Early Career,Operations,Account Executive,1.689898846529098,4,5,1.0,5,2.0,2.0,5,2.0,5,5.0,3.0,7,3.0,5,3.66,1,1,0,1.0,Gay/Lesbian,Female,1,1,1,32482.72,3.56,3.0,3.0,3.75,5.0
7,7,Sovena Group,2013,Guarda,Full-time,Executive,Design,Office Coordinator,3.398735154928451,4,7,3.0,6,3.0,2.0,8,5.0,4,4.0,2.0,7,2.0,6,4.48,1,0,0,4.0,Bisexual,Non-Binary,0,0,0,12867.7,4.8,4.5,4.33,3.75,5.0
8,8,Glintt,2020,Leiria,Part-time,Senior-Level,Accounting & Finance,Assembler,3.6489655459762114,4,7,2.0,7,2.0,3.0,5,3.0,7,4.0,4.0,7,4.0,9,4.78,1,1,0,3.0,Heterosexual,Male,0,0,2,24499.74,4.88,4.5,3.33,4.5,6.67
9,9,Carris,2020,Aveiro,Contract,Senior-Level,Business Intelligence,Scheduler,1.3070876420640805,5,4,3.0,8,1.0,3.0,8,3.0,6,2.0,2.0,9,3.0,3,4.24,2,0,0,3.0,Heterosexual,Male,0,1,0,24399.94,3.44,5.5,4.0,3.25,5.0
10,10,Sonae Indústria,2000,Porto,Contract,Mid-Level,Tech,Nursing Manager,3.0847603311172715,7,6,2.0,6,2.0,3.0,5,3.0,6,4.0,3.0,5,3.0,7,4.34,1,0,1,3.0,Heterosexual,Female,1,0,2,16798.74,5.36,4.0,3.33,4.0,5.0
11,11,Renova,2004,Aveiro,Part-time,Mid-Level,Other,Food And Beverage Manager,3.255878098115801,7,6,3.0,8,4.0,4.0,5,5.0,3,3.0,2.0,7,4.0,5,4.77,1,0,0,2.0,Gay/Lesbian,Non-Binary,1,0,1,6937.52,5.42,5.5,4.33,3.25,5.33
12,12,Logoplaste,2001,Açores,Full-time,Senior-Level,Design,Material Handler,2.771881258863759,6,7,2.0,4,2.0,3.0,7,4.0,6,3.0,2.0,6,1.0,6,4.07,2,1,0,4.0,Bisexual,Female,1,1,0,11439.22,5.26,3.0,4.0,3.75,4.33
